root,presentParticiple,pastParticiple,thirdPersonSingular
patch,patching,patched,patches,false
resolve,resolving,resolved,resolves,false
authenticate,authenticating,authenticated,authenticates,true
install,installing,installed,installs,true
invoke,invoking,invoked,invokes,true
reinstall,reinstalling,reinstalled,reinstalls,true
delete,deleting,deleted,deletes,false
remove,removing,removed,removes,false
refresh,refreshing,refreshed,refreshes,false
flush,flushing,flushed,flushes,false
revoke,revoking,revoked,revokes,false
log in to,logging into,logged into,logs into,true
query,querying,queried,queries,false
restore,restoring,restored,restores,false
grant permissions to,granting permissions to,granted permissions to,grants permissions to,true
revoke permissions from,revoking permissions from,revoked permissions from,revokes permissions from,true
boot,booting,booted,boots,false
cache,caching,cached,caches,true
flash,flashing,flashed,flashes,false
diagnose,diagnosing,diagnosed,diagnoses,false
randomise,randomising,randomised,randomises,true
initialise,initialising,initialised,initialises,true
track,tracking,tracked,tracks,false
generate,generating,generated,generates,false
load,loading,loaded,loads,false
modify,modifying,modified,modifies,false
configure,configuring,configured,configures,true
dispose of,disposing of,disposed of,disposes of,false
invalidate,invalidating,invalidated,invalidates,true
code review,code reviewing,code reviewed,code reviews,true
unzip,unzipping,unzipped,unzips,false
convert,converting,converted,converts,false
promote,promoting,promoted,promotes,false
decouple,decoupling,decoupled,decouples,true
branch,branching,branched,branches,false
merge,merging,merged,merges,false
quarantine,quarantining,quarantined,quarantines,false
download,downloading,downloaded,downloads,true
upload,uploading,uploaded,uploads,false
anonymise,anonymising,anonymised,anonymises,true
disable,disabling,disabled,disables,false
enable,enabling,enabled,enables,false
roll back,rolling back,rolled back,rolls back,true
soft delete,soft deleting,soft deleted,soft deletes,true
publish,publishing,published,publishes,false
compile,compiling,compiled,compiles,false
rebulk,rebulking,rebulked,rebulks,true
check,checking,checked,checks,false
adjust,adjusting,adjusted,adjusts,false
print,printing,printed,prints,false
deploy,deploying,deployed,deploys,false
create,creating,created,creates,false
clean up,cleaning up,cleaned up,cleans up,false
collate,collating,collated,collates,true
pause,pausing,paused,pauses,false
override,overriding,overridden,overrides,true
overwrite,overwriting,overwritten,overwrites,true
insert,inserting,inserted,inserts,false
format,formatting,formatted,formats,false
terminate,terminating,terminated,terminates,false
re-queue,re-queueing,re-queued,re-queues,true
run,running,run,runs,false
replace,replacing,replaced,replaces,false
bypass,bypassing,bypassed,bypasses,false
print,printing,printed,prints,false
restart,restarting,restarted,restarts,false
ping,pinging,pinged,pings,true
upgrade,upgrading,upgraded,upgrades,true
defragment,defragmenting,defragmented,defragments,true
switch to,switching to,switched to,switches to,true
mount,mounting,mounted,mounts,false
profile,profiling,profiled,profiles,false
trigger,triggering,triggered,triggers,false
compress,compressing,compressed,compresses,false
pull through,pulling through,pulled through,pulls through,false
apply,applying,applied,applies,false
request,requesting,requested,requests,false
build,building,built,builds,false
download everything from,downloading everything from,downloaded everything from,downloads everything from,true
upload everything to,uploading everything to,uploaded everything to,uploads everything to,true
wipe,wiping,wiped,wipes,false
completely remove,completely removing,completely removed,completely removes,false
destroy,destroying,destroyed,destroys,false
delete everything from,deleting everything from,deleted everything from,deletes everything from,false
tear down,tearing down,torn down,tears down,false
design,designing,designed,designs,false
call,calling,called,calls,false
hover over,hovering over,hovered over,hovers over,true
RDP onto,RDPing onto,RDPed onto,RDPs onto,true
connect to,connecting to,connected to,connects to,false
remote onto,remoting onto,remoted onto,remotes onto,true
render,rendering,rendered,renders,true
clean,cleaning,cleaned,cleans,false
instantiate,instantiating,instantiated,instantiates,true
decommission,decommissioning,decommissioned,decommissions,true
dual boot,dual booting,dual booted,dual boots,true
increase,increasing,increased,increases,false
burn,burning,burned,burns,false
decompress,decompressing,decompressed,decompresses,true
hash,hashing,hashed,hashes,true
archive,archiving,archived,archives,false
disassemble,disassembling,disassembled,disassembles,true
host,hosting,hosted,hosts,false
do a Get Latest of,doing a Get Latest of,done a Get Latest of,does a Get Latest of,true
test,testing,tested,tests,false
rename,renaming,renamed,renames,false
do a diff of,doing a diff of,done a diff of,does a diff of,true
truncate,truncating,truncated,truncates,true
sign out of,signing out of,signed out of,signs out of,true
coallesce,coallescing,coallesced,coallesces,true
create a new version of,creating a new version of,created a new version of,creates a new version of,true
compromise,compromising,compromised,compromises,false
comment out,commenting out,commented out,comments out,true
grep,grepping,grepped,greps,true
repolarise,repolarising,repolarised,repolarises,true
calibrate,calibrating,calibrated,calibrates,true
drill down into,drilling down into,drilled down into,drills down into,true
propagate,propagating,propagated,propagates,true
back up,backing up,backed up,backs up,false
transpose,transposing,transposed,transposes,true
stream,streaming,streamed,streams,false
streamline,streamlining,streamlined,streamlines,false
purge,purging,purged,purges,false
fudge,fudging,fudged,fudges,true
scrape,scraping,scraped,scrapes,false
salt,salting,salted,salts,false
reroute,rerouting,rerouted,reroutes,false
integrate,integrating,integrated,integrates,false
schedule,scheduling,scheduled,schedules,false
mask,masking,masked,masks,false
refine,refining,refined,refines,false
cut,cutting,cut,cuts,false
recycle,recycling,recycled,recycles,false
stratify,stratifying,stratified,stratifies,false
hack,hacking,hacked,hacks,true
translate,translating,translated,translates,false
brute force,brute forcing,brute forced,brute forces,false
mock,mocking,mocked,mocks,false
stub,stubbing,stubbed,stubs,false
telnet onto,telnetting onto,telnetted onto,telnets onto,true
lazy load,lazy loading,lazy loaded,lazy loads,true
turn up the verbosity on,turning up the verbosity on,turned up the verbosity on,turns up the verbosity on,true
ring-fence,ring-fencing,ring-fenced,ring-fences,false
append,appending,appended,appends,false
bit-shift,bit-shifting,bit-shifted,bit-shifts,true
optimise,optimising,optimised,optimises,false
change,changing,changed,changes,false
swap,swapping,swapped,swaps,false
reverse,reversing,reversed,reverses,false
load balance,load balancing,load balanced,load balances,true
nest,nesting,nested,nests,false
degrade,degrading,degraded,degrades,false
stress test,stress testing,stress tested,stress tests,true
seal,sealing,sealed,seals,false
encrypt,encrypting,encrypted,encrypts,true
decrypt,decrypting,decrypted,decrypts,true
smurf-name,smurf-naming,smurf-named,smurf-names,true
memoize,memoizing,memoized,memoizes,true
recurse,recursing,recursed,recurses,true
fire and forget,firing and forgetting,fired and forgot,fires and forgets,true
intercept,intercepting,intercepted,intercepts,true
fake,faking,faked,fakes,false
bind,binding,bound,binds,false
action,actioning,actioned,actions,false
add a reference to,adding a reference to,added a reference to,adds reference to,true
expose,exposing,exposed,exposes,false
trim,trimming,trimmed,trims,false
flatten,flattening,flattened,flattens,false
drop,dropping,dropped,drops,false
replicate,replicating,replicated,replicates,false
port,porting,ported,ports,false
copy,copying,copied,copies,false
paste,pasting,pasted,pastes,false
reverse engineer,reverse engineering,reverse engineered,reverse engineers,true
solidify,solidifying,solidified,solidifies,false
consume,consuming,consumed,consumes,false
box,boxing,boxed,boxes,false
unbox,unboxing,unboxed,unboxes,false
spin up,spinning up,spun up,spins,false
overclock,overclocking,overclocked,overclocks,false
google,googling,googled,googles,false
upsert,upserting,upserted,upserts,true
munge,munging,munged,munges,true
deprecate,deprecating,deprecated,deprecates,true
abstract,abstracting,abstracted,abstracts,false
analyse,analysing,analysed,analyses,false
modularise,modularising,modularised,modularises,true
innovate,innovating,innovated,innovates,false
encapsulate,encapsulating,encapsulated,encapsulates,false
split,splitting,split,splits,false
isolate,isolating,isolated,isolates,false
invert,inverting,inverted,inverts,false
nullify,nullifying,nullified,nullifies,true
print out,printing out,printed out,prints out,false
disrupt,disrupting,disrupted,disrupts,false
improve,improving,improved,improves,false
monitor,monitoring,monitored,monitors,false
offset,offsetting,offseted,offsets,false
aggregate,aggregating,aggregated,aggregates,false
interrupt,interrupting,interrupted,interrupts,false
dispatch,dispatching,dispatched,dispatches,false
fully qualify,fully qualifying,fully qualified,fully qualifies,false
hand roll,hand rolling,hand rolled,hand rolls,false
deep dive into,deep diving into,deep dived into,deep dives into,true
call out,calling out,called out,calls out,false
solutionise,solutionising,solutionised,solutionises,true
backport,backporting,backported,backports,true
containerise,containerising,containerised,containerises,true
transpile,transpiling,transpiled,transpiles,true
cold start,cold starting,cold started,cold starts,false